User_ID,Session_ID,Activities,Timestamp,Devices,Region,Channel,Product_Category,Payment_Method,Revenue,Bounce_Flag
USR00014,SES00014,Purchase,2026-06-19 11:11:10,Desktop,West,Social Media,Fashion,Card,1539.71,No
USR00015,SES00015,Visit,2026-06-18 15:11:44,Desktop,Norht,Friends,Home,Credit Card,0.0,Yes
USR00015,SES00015,Product View,2026-06-18 15:16:44,Mobile,South,Google Ads,Sport,Card,0.0,Yes
USR00016,SES00016,Visit,2026-06-12 11:54:45,Desktop,East,Email,Home,Credit Card,0.0,Yes
USR00017,SES00017,Visit,2026-06-16 01:34:39,Mobile,East,Friends,Home,Card,0.0,Yes
USR00017,SES00017,Product View,2026-06-16 01:36:39,Desktop,East,Organic,Home,Card,0.0,Yes
USR00018,SES00018,Visit,2026-06-10 17:29:01,Mobile,East,Organic,Home,Online,0.0,No
USR00018,SES00018,Product View,2026-06-10 17:33:01,Mobile,East,Email,Home,Credit Card,0.0,No
USR00019,SES00019,Visit,2026-05-26 00:24:48,Mobile,Norht,Google Ads,Beauty,Card,0.0,Yes
USR00019,SES00019,Product View,2026-05-26 00:29:48,Tablet,South,Organic,Fashion,Online,0.0,Yes
USR00020,SES00020,Visit,2026-06-13 21:25:14,Desktop,West,Email,Electronics,Card,0.0,No
USR00020,SES00020,Product View,2026-06-13 21:29:14,Desktop,East,Organic,Beauty,Card,0.0,No
USR00020,SES00020,Add To Cart,2026-06-13 21:32:14,Desktop,East,Friends,Fashion,Online,0.0,No
USR00021,SES00021,Visit,2026-06-19 20:30:39,Tablet,East,Friends,Electronics,Online,0.0,Yes
USR00021,SES00021,Product View,2026-06-19 20:35:39,Tablet,Norht,Social Media,Beauty,Online,0.0,Yes
USR00022,SES00022,Visit,2026-06-12 13:39:54,Mobile,West,Organic,Sport,Online,0.0,Yes
USR00023,SES00023,Visit,2026-06-16 04:51:50,Desktop,South,Google Ads,Electronics,Online,0.0,Yes
USR00023,SES00023,Product View,2026-06-16 04:54:50,Mobile,West,Email,Fashion,Card,0.0,Yes
USR00024,SES00024,Visit,2026-05-28 08:24:25,Desktop,Norht,Friends,Electronics,Credit Card,0.0,Yes
USR00025,SES00025,Visit,2026-06-08 08:26:11,Desktop,East,Organic,Fashion,Credit Card,0.0,Yes
USR00026,SES00026,Visit,2026-06-08 16:33:31,Desktop,Norht,Google Ads,Sport,Online,0.0,Yes
USR00027,SES00027,Visit,2026-06-24 09:24:48,Mobile,Norht,Friends,Fashion,Credit Card,0.0,Yes
USR00027,SES00027,Product View,2026-06-24 09:31:48,Desktop,Norht,Organic,Sport,Card,0.0,Yes
USR00028,SES00028,Visit,2026-06-19 18:40:25,Mobile,Norht,Social Media,Fashion,Credit Card,0.0,Yes
USR00029,SES00029,Visit,2026-06-15 02:51:57,Mobile,East,Social Media,Beauty,Card,0.0,No
USR00030,SES00030,Visit,2026-06-05 06:04:00,Mobile,West,Social Media,Electronics,Online,0.0,Yes
USR00030,SES00030,Product View,2026-06-05 06:10:00,Mobile,South,Google Ads,Home,Credit Card,0.0,Yes
USR00031,SES00031,Visit,2026-06-02 12:56:53,Tablet,South,Email,Electronics,Online,0.0,Yes
USR00031,SES00031,Product View,2026-06-02 12:59:53,Mobile,South,Friends,Home,Card,0.0,Yes
USR00032,SES00032,Visit,2026-06-12 00:32:35,Tablet,Norht,Google Ads,Beauty,Card,0.0,No
USR00032,SES00032,Product View,2026-06-12 00:38:35,Mobile,East,Organic,Home,Card,0.0,No
USR00032,SES00032,Add To Cart,2026-06-12 00:42:35,Tablet,South,Organic,Electronics,Card,0.0,No
USR00032,SES00032,Purchase,2026-06-12 00:48:35,Mobile,East,Organic,Electronics,Online,814.08,No
USR00033,SES00033,Visit,2026-06-19 20:51:41,Desktop,Norht,Organic,Beauty,Online,0.0,Yes
USR00033,SES00033,Product View,2026-06-19 20:54:41,Tablet,West,Organic,Beauty,Card,0.0,Yes
USR00034,SES00034,Visit,2026-06-17 18:22:49,Mobile,West,Google Ads,Fashion,Online,0.0,No
USR00034,SES00034,Product View,2026-06-17 18:24:49,Tablet,West,Friends,Sport,Online,0.0,No
USR00034,SES00034,Add To Cart,2026-06-17 18:26:49,Desktop,West,Organic,Sport,Credit Card,0.0,No
USR00034,SES00034,Purchase,2026-06-17 18:33:49,Tablet,West,Social Media,Fashion,Online,271.38,No
USR00035,SES00035,Visit,2026-06-19 21:22:07,Mobile,East,Friends,Beauty,Online,0.0,Yes
USR00036,SES00036,Visit,2026-06-01 05:04:46,Mobile,East,Google Ads,Sport,Online,0.0,Yes
USR00037,SES00037,Visit,2026-06-08 00:57:14,Mobile,Norht,Social Media,Fashion,Credit Card,0.0,Yes
USR00037,SES00037,Product View,2026-06-08 01:04:14,Tablet,West,Google Ads,Fashion,Credit Card,0.0,Yes
USR00038,SES00038,Visit,2026-06-21 04:02:44,Tablet,East,Email,Fashion,Online,0.0,Yes
USR00038,SES00038,Product View,2026-06-21 04:06:44,Mobile,East,Organic,Home,Credit Card,0.0,Yes
USR00039,SES00039,Visit,2026-05-31 08:03:33,Mobile,East,Email,Sport,Online,0.0,Yes
USR00039,SES00039,Product View,2026-05-31 08:08:33,Mobile,West,Google Ads,Sport,Credit Card,0.0,Yes
USR00040,SES00040,Visit,2026-06-16 18:38:12,Tablet,East,Friends,Beauty,Online,0.0,Yes
USR00041,SES00041,Visit,2026-06-10 18:31:47,Mobile,Norht,Organic,Home,Online,0.0,Yes
USR00041,SES00041,Product View,2026-06-10 18:36:47,Tablet,South,Google Ads,Fashion,Online,0.0,Yes
USR00042,SES00042,Visit,2026-06-18 00:16:39,Mobile,Norht,Google Ads,Home,Card,0.0,No
USR00043,SES00043,Visit,2026-06-08 17:02:47,Mobile,South,Organic,Home,Credit Card,0.0,Yes
USR00043,SES00043,Product View,2026-06-08 17:04:47,Mobile,West,Social Media,Fashion,Online,0.0,Yes
USR00044,SES00044,Visit,2026-06-08 18:45:10,Mobile,West,Social Media,Electronics,Online,0.0,No
USR00044,SES00044,Product View,2026-06-08 18:49:10,Mobile,West,Organic,Sport,Credit Card,0.0,No
USR00045,SES00045,Visit,2026-06-20 22:18:34,Desktop,East,Organic,Electronics,Card,0.0,Yes
USR00046,SES00046,Visit,2026-05-24 13:48:32,Desktop,West,Social Media,Electronics,Online,0.0,Yes
USR00046,SES00046,Product View,2026-05-24 13:51:32,Desktop,West,Social Media,Home,Online,0.0,Yes
USR00047,SES00047,Visit,2026-05-25 07:19:04,Mobile,South,Social Media,Fashion,Card,0.0,No
USR00047,SES00047,Product View,2026-05-25 07:24:04,Mobile,West,Google Ads,Electronics,Card,0.0,No
USR00048,SES00048,Visit,2026-06-22 06:09:05,Mobile,Norht,Organic,Electronics,Credit Card,0.0,Yes
USR00049,SES00049,Visit,2026-05-27 15:17:15,Mobile,West,Organic,Electronics,Credit Card,0.0,No
USR00049,SES00049,Product View,2026-05-27 15:21:15,Mobile,West,Friends,Fashion,Card,0.0,No
USR00049,SES00049,Add To Cart,2026-05-27 15:28:15,Desktop,East,Social Media,Beauty,Online,0.0,No
USR00049,SES00049,Purchase,2026-05-27 15:32:15,Tablet,West,Organic,Home,Card,447.78,No
USR00050,SES00050,Visit,2026-06-20 07:45:50,Tablet,Norht,Email,Beauty,Online,0.0,Yes
USR00050,SES00050,Product View,2026-06-20 07:51:50,Desktop,East,Organic,Beauty,Credit Card,0.0,Yes
USR00051,SES00051,Visit,2026-05-30 06:12:55,Tablet,East,Organic,Beauty,Credit Card,0.0,Yes
USR00051,SES00051,Product View,2026-05-30 06:18:55,Mobile,West,Friends,Electronics,Credit Card,0.0,Yes
USR00052,SES00052,Visit,2026-06-18 04:50:18,Tablet,Norht,Email,Fashion,Card,0.0,Yes
USR00052,SES00052,Product View,2026-06-18 04:52:18,Tablet,West,Google Ads,Beauty,Online,0.0,Yes
USR00053,SES00053,Visit,2026-06-08 10:48:00,Mobile,Norht,Social Media,Home,Online,0.0,Yes
USR00053,SES00053,Product View,2026-06-08 10:52:00,Mobile,West,Social Media,Beauty,Card,0.0,Yes
USR00054,SES00054,Visit,2026-06-17 22:36:21,Tablet,West,Social Media,Home,Card,0.0,Yes
USR00055,SES00055,Visit,2026-06-11 04:01:08,Mobile,West,Friends,Home,Credit Card,0.0,No
USR00056,SES00056,Visit,2026-06-07 22:23:20,Tablet,West,Organic,Fashion,Online,0.0,Yes
USR00056,SES00056,Product View,2026-06-07 22:29:20,Tablet,East,Social Media,Sport,Online,0.0,Yes
USR00057,SES00057,Visit,2026-06-15 19:39:21,Tablet,East,Social Media,Sport,Online,0.0,Yes
USR00057,SES00057,Product View,2026-06-15 19:43:21,Tablet,South,Email,Sport,Card,0.0,Yes
USR00058,SES00058,Visit,2026-06-03 09:02:53,Mobile,Norht,Google Ads,Beauty,Card,0.0,Yes
USR00058,SES00058,Product View,2026-06-03 09:09:53,Tablet,East,Social Media,Fashion,Card,0.0,Yes
USR00059,SES00059,Visit,2026-06-24 07:34:45,Desktop,East,Google Ads,Home,Online,0.0,Yes
USR00060,SES00060,Visit,2026-06-17 23:28:50,Desktop,East,Social Media,Home,Credit Card,0.0,No
USR00060,SES00060,Product View,2026-06-17 23:33:50,Tablet,South,Google Ads,Sport,Card,0.0,No
USR00060,SES00060,Add To Cart,2026-06-17 23:40:50,Tablet,East,Social Media,Fashion,Credit Card,0.0,No
USR00060,SES00060,Purchase,2026-06-17 23:46:50,Desktop,South,Social Media,Home,Credit Card,1666.73,No
USR00061,SES00061,Visit,2026-05-26 05:06:02,Mobile,Norht,Organic,Fashion,Credit Card,0.0,Yes
USR00061,SES00061,Product View,2026-05-26 05:10:02,Tablet,West,Google Ads,Fashion,Credit Card,0.0,Yes
USR00061,SES00061,Add To Cart,2026-05-26 05:16:02,Tablet,East,Google Ads,Sport,Credit Card,0.0,Yes
USR00062,SES00062,Visit,2026-06-01 20:25:19,Mobile,Norht,Organic,Sport,Credit Card,0.0,Yes
USR00062,SES00062,Product View,2026-06-01 20:31:19,Desktop,South,Social Media,Beauty,Online,0.0,Yes
USR00063,SES00063,Visit,2026-05-26 15:24:17,Mobile,West,Friends,Home,Credit Card,0.0,Yes
USR00064,SES00064,Visit,2026-06-01 19:08:39,Tablet,West,Google Ads,Sport,Card,0.0,No
USR00065,SES00065,Visit,2026-06-17 18:25:57,Mobile,East,Google Ads,Fashion,Card,0.0,Yes
USR00066,SES00066,Visit,2026-06-15 20:09:31,Desktop,South,Social Media,Fashion,Card,0.0,Yes
USR00066,SES00066,Product View,2026-06-15 20:12:31,Tablet,South,Organic,Electronics,Online,0.0,Yes
USR00067,SES00067,Visit,2026-06-15 00:14:45,Tablet,South,Google Ads,Beauty,Card,0.0,Yes
USR00067,SES00067,Product View,2026-06-15 00:16:45,Desktop,South,Social Media,Electronics,Credit Card,0.0,Yes
USR00068,SES00068,Visit,2026-06-20 17:34:44,Tablet,East,Organic,Sport,Online,0.0,Yes
USR00069,SES00069,Visit,2026-05-30 19:36:38,Desktop,South,Friends,Beauty,Card,0.0,Yes
USR00069,SES00069,Product View,2026-05-30 19:40:38,Desktop,South,Google Ads,Beauty,Credit Card,0.0,Yes
USR00070,SES00070,Visit,2026-05-26 12:42:15,Tablet,East,Google Ads,Electronics,Online,0.0,Yes
USR00070,SES00070,Product View,2026-05-26 12:45:15,Mobile,West,Google Ads,Home,Online,0.0,Yes
USR00071,SES00071,Visit,2026-06-14 16:45:37,Tablet,East,Friends,Fashion,Online,0.0,Yes
USR00071,SES00071,Product View,2026-06-14 16:50:37,Desktop,West,Google Ads,Beauty,Credit Card,0.0,Yes
USR00072,SES00072,Visit,2026-05-25 17:56:33,Mobile,Norht,Friends,Sport,Online,0.0,Yes
USR00072,SES00072,Product View,2026-05-25 17:58:33,Desktop,West,Social Media,Fashion,Credit Card,0.0,Yes
USR00073,SES00073,Visit,2026-06-16 10:24:55,Mobile,South,Friends,Sport,Card,0.0,Yes
USR00073,SES00073,Product View,2026-06-16 10:31:55,Desktop,West,Email,Fashion,Card,0.0,Yes
USR00074,SES00074,Visit,2026-06-01 04:24:01,Tablet,East,Google Ads,Fashion,Online,0.0,Yes
USR00074,SES00074,Product View,2026-06-01 04:30:01,Desktop,East,Email,Beauty,Online,0.0,Yes
USR00075,SES00075,Visit,2026-06-01 04:15:30,Mobile,West,Friends,Fashion,Card,0.0,Yes
USR00075,SES00075,Product View,2026-06-01 04:17:30,Mobile,South,Google Ads,Home,Online,0.0,Yes
USR00076,SES00076,Visit,2026-06-18 18:42:18,Desktop,South,Google Ads,Beauty,Card,0.0,No
USR00077,SES00077,Visit,2026-06-14 03:29:38,Tablet,East,Google Ads,Beauty,Online,0.0,Yes
USR00077,SES00077,Product View,2026-06-14 03:32:38,Mobile,South,Friends,Beauty,Online,0.0,Yes
USR00078,SES00078,Visit,2026-06-14 19:11:37,Tablet,East,Organic,Home,Credit Card,0.0,No
USR00079,SES00079,Visit,2026-06-11 02:07:11,Desktop,West,Organic,Beauty,Credit Card,0.0,No
USR00079,SES00079,Product View,2026-06-11 02:13:11,Desktop,Norht,Organic,Electronics,Card,0.0,No
USR00079,SES00079,Add To Cart,2026-06-11 02:16:11,Mobile,South,Email,Sport,Credit Card,0.0,No
USR00079,SES00079,Purchase,2026-06-11 02:19:11,Desktop,West,Social Media,Beauty,Card,229.34,No
USR00080,SES00080,Visit,2026-05-29 22:44:42,Tablet,Norht,Organic,Beauty,Credit Card,0.0,Yes
USR00080,SES00080,Product View,2026-05-29 22:48:42,Desktop,West,Email,Sport,Credit Card,0.0,Yes
USR00081,SES00081,Visit,2026-05-30 05:51:04,Tablet,East,Google Ads,Home,Online,0.0,Yes
USR00081,SES00081,Product View,2026-05-30 05:56:04,Desktop,East,Social Media,Sport,Online,0.0,Yes
USR00082,SES00082,Visit,2026-06-06 19:52:01,Desktop,Norht,Friends,Electronics,Credit Card,0.0,Yes
USR00082,SES00082,Product View,2026-06-06 19:54:01,Desktop,South,Email,Electronics,Card,0.0,Yes
USR00083,SES00083,Visit,2026-06-07 22:10:16,Mobile,Norht,Friends,Fashion,Online,0.0,Yes
USR00083,SES00083,Product View,2026-06-07 22:14:16,Mobile,West,Friends,Electronics,Online,0.0,Yes
USR00084,SES00084,Visit,2026-06-18 12:39:13,Mobile,South,Email,Home,Online,0.0,No
USR00084,SES00084,Product View,2026-06-18 12:46:13,Tablet,East,Friends,Home,Card,0.0,No
USR00084,SES00084,Add To Cart,2026-06-18 12:48:13,Tablet,East,Friends,Fashion,Credit Card,0.0,No
USR00084,SES00084,Purchase,2026-06-18 12:53:13,Desktop,East,Friends,Fashion,Online,1684.2,No
USR00085,SES00085,Visit,2026-05-31 08:28:23,Desktop,Norht,Email,Home,Online,0.0,Yes
USR00085,SES00085,Product View,2026-05-31 08:34:23,Tablet,Norht,Organic,Sport,Online,0.0,Yes
USR00086,SES00086,Visit,2026-06-01 05:52:57,Desktop,West,Google Ads,Fashion,Credit Card,0.0,Yes
USR00086,SES00086,Product View,2026-06-01 05:57:57,Tablet,East,Email,Home,Credit Card,0.0,Yes
USR00087,SES00087,Visit,2026-06-15 23:03:22,Tablet,Norht,Social Media,Electronics,Credit Card,0.0,Yes
USR00088,SES00088,Visit,2026-06-15 21:36:04,Mobile,Norht,Email,Sport,Credit Card,0.0,Yes
USR00088,SES00088,Product View,2026-06-15 21:40:04,Tablet,South,Email,Electronics,Online,0.0,Yes
USR00089,SES00089,Visit,2026-06-05 02:24:38,Mobile,South,Social Media,Electronics,Credit Card,0.0,Yes
USR00089,SES00089,Product View,2026-06-05 02:26:38,Mobile,Norht,Friends,Fashion,Card,0.0,Yes
USR00090,SES00090,Visit,2026-06-13 00:26:08,Desktop,Norht,Google Ads,Fashion,Online,0.0,Yes
USR00090,SES00090,Product View,2026-06-13 00:33:08,Mobile,Norht,Social Media,Sport,Online,0.0,Yes
USR00091,SES00091,Visit,2026-06-23 13:41:06,Mobile,West,Friends,Beauty,Credit Card,0.0,Yes
USR00091,SES00091,Product View,2026-06-23 13:46:06,Desktop,West,Google Ads,Beauty,Credit Card,0.0,Yes
USR00091,SES00091,Add To Cart,2026-06-23 13:48:06,Desktop,Norht,Friends,Fashion,Credit Card,0.0,Yes
USR00092,SES00092,Visit,2026-05-29 00:18:22,Desktop,Norht,Friends,Fashion,Online,0.0,No
USR00092,SES00092,Product View,2026-05-29 00:22:22,Mobile,West,Friends,Home,Card,0.0,No
USR00092,SES00092,Add To Cart,2026-05-29 00:28:22,Desktop,South,Google Ads,Fashion,Online,0.0,No
USR00092,SES00092,Purchase,2026-05-29 00:33:22,Mobile,South,Social Media,Sport,Online,369.09,No
USR00093,SES00093,Visit,2026-06-01 10:24:59,Mobile,South,Organic,Electronics,Online,0.0,Yes
USR00093,SES00093,Product View,2026-06-01 10:26:59,Desktop,South,Friends,Beauty,Online,0.0,Yes
USR00094,SES00094,Visit,2026-06-13 05:20:00,Desktop,West,Friends,Electronics,Card,0.0,No
USR00094,SES00094,Product View,2026-06-13 05:23:00,Tablet,South,Email,Sport,Online,0.0,No
USR00094,SES00094,Add To Cart,2026-06-13 05:26:00,Desktop,South,Google Ads,Beauty,Online,0.0,No
USR00094,SES00094,Purchase,2026-06-13 05:29:00,Mobile,South,Email,Sport,Credit Card,662.85,No
USR00095,SES00095,Visit,2026-05-29 06:39:31,Desktop,Norht,Google Ads,Sport,Online,0.0,Yes
USR00095,SES00095,Product View,2026-05-29 06:42:31,Tablet,South,Friends,Fashion,Online,0.0,Yes
USR00095,SES00095,Add To Cart,2026-05-29 06:48:31,Mobile,South,Email,Fashion,Online,0.0,Yes
USR00096,SES00096,Visit,2026-06-19 14:04:55,Tablet,East,Friends,Sport,Credit Card,0.0,No
USR00096,SES00096,Product View,2026-06-19 14:08:55,Tablet,West,Google Ads,Fashion,Credit Card,0.0,No
USR00096,SES00096,Add To Cart,2026-06-19 14:13:55,Desktop,Norht,Social Media,Sport,Credit Card,0.0,No
USR00096,SES00096,Purchase,2026-06-19 14:16:55,Tablet,Norht,Google Ads,Sport,Online,236.8,No
USR00097,SES00097,Visit,2026-06-16 17:04:38,Desktop,Norht,Google Ads,Electronics,Card,0.0,Yes
USR00097,SES00097,Product View,2026-06-16 17:11:38,Mobile,West,Email,Electronics,Credit Card,0.0,Yes
USR00097,SES00097,Add To Cart,2026-06-16 17:16:38,Tablet,West,Google Ads,Fashion,Credit Card,0.0,Yes
USR00098,SES00098,Visit,2026-06-23 12:28:15,Mobile,East,Social Media,Electronics,Card,0.0,No
USR00098,SES00098,Product View,2026-06-23 12:33:15,Tablet,East,Friends,Home,Card,0.0,No
USR00098,SES00098,Add To Cart,2026-06-23 12:40:15,Tablet,South,Google Ads,Fashion,Card,0.0,No
USR00098,SES00098,Purchase,2026-06-23 12:47:15,Desktop,South,Social Media,Sport,Online,1472.21,No
USR00099,SES00099,Visit,2026-06-24 01:14:36,Mobile,South,Organic,Electronics,Online,0.0,No
USR00099,SES00099,Product View,2026-06-24 01:21:36,Mobile,East,Friends,Electronics,Credit Card,0.0,No
USR00099,SES00099,Add To Cart,2026-06-24 01:26:36,Tablet,East,Email,Sport,Credit Card,0.0,No
USR00099,SES00099,Purchase,2026-06-24 01:31:36,Mobile,Norht,Organic,Fashion,Online,1369.46,No
USR00100,SES00100,Visit,2026-06-19 12:15:51,Mobile,South,Email,Fashion,Online,0.0,Yes
USR00100,SES00100,Product View,2026-06-19 12:21:51,Tablet,East,Friends,Sport,Credit Card,0.0,Yes
USR00101,SES00101,Visit,2026-06-08 22:43:02,Mobile,West,Email,Sport,Credit Card,0.0,No
USR00101,SES00101,Product View,2026-06-08 22:47:02,Tablet,East,Google Ads,Sport,Online,0.0,No
USR00101,SES00101,Add To Cart,2026-06-08 22:51:02,Desktop,East,Organic,Fashion,Online,0.0,No
USR00101,SES00101,Purchase,2026-06-08 22:57:02,Desktop,West,Organic,Sport,Card,889.45,No
USR00102,SES00102,Visit,2026-06-05 13:07:01,Tablet,West,Google Ads,Sport,Card,0.0,No
USR00102,SES00102,Product View,2026-06-05 13:14:01,Desktop,East,Friends,Beauty,Credit Card,0.0,No
USR00103,SES00103,Visit,2026-05-26 11:26:18,Mobile,Norht,Google Ads,Sport,Online,0.0,Yes
USR00104,SES00104,Visit,2026-06-03 16:19:30,Mobile,East,Google Ads,Fashion,Credit Card,0.0,No
USR00105,SES00105,Visit,2026-05-28 12:23:58,Tablet,West,Social Media,Sport,Card,0.0,Yes
USR00105,SES00105,Product View,2026-05-28 12:30:58,Desktop,East,Email,Beauty,Credit Card,0.0,Yes
USR00106,SES00106,Visit,2026-06-09 14:16:18,Desktop,East,Google Ads,Fashion,Card,0.0,Yes
USR00107,SES00107,Visit,2026-06-23 05:58:19,Desktop,South,Organic,Electronics,Credit Card,0.0,Yes
USR00107,SES00107,Product View,2026-06-23 06:04:19,Tablet,South,Friends,Electronics,Online,0.0,Yes
USR00108,SES00108,Visit,2026-06-20 03:19:58,Desktop,East,Google Ads,Electronics,Credit Card,0.0,Yes
USR00108,SES00108,Product View,2026-06-20 03:26:58,Tablet,Norht,Social Media,Sport,Online,0.0,Yes
USR00109,SES00109,Visit,2026-06-21 18:12:35,Desktop,East,Google Ads,Sport,Credit Card,0.0,Yes
USR00109,SES00109,Product View,2026-06-21 18:17:35,Desktop,West,Friends,Sport,Credit Card,0.0,Yes
USR00110,SES00110,Visit,2026-06-21 09:03:21,Desktop,East,Social Media,Home,Online,0.0,No
USR00110,SES00110,Product View,2026-06-21 09:10:21,Desktop,West,Friends,Fashion,Online,0.0,No
USR00110,SES00110,Add To Cart,2026-06-21 09:13:21,Mobile,South,Organic,Home,Card,0.0,No
USR00110,SES00110,Purchase,2026-06-21 09:15:21,Mobile,South,Organic,Electronics,Online,705.04,No
USR00111,SES00111,Visit,2026-06-07 00:34:13,Desktop,Norht,Google Ads,Sport,Card,0.0,No
USR00111,SES00111,Product View,2026-06-07 00:36:13,Tablet,Norht,Social Media,Beauty,Card,0.0,No
USR00111,SES00111,Add To Cart,2026-06-07 00:40:13,Mobile,East,Email,Fashion,Card,0.0,No
USR00111,SES00111,Purchase,2026-06-07 00:46:13,Desktop,South,Email,Beauty,Credit Card,554.49,No
USR00112,SES00112,Visit,2026-05-26 10:40:37,Tablet,South,Friends,Electronics,Online,0.0,No
USR00112,SES00112,Product View,2026-05-26 10:45:37,Tablet,East,Organic,Beauty,Online,0.0,No
USR00112,SES00112,Add To Cart,2026-05-26 10:47:37,Tablet,East,Organic,Sport,Credit Card,0.0,No
USR00112,SES00112,Purchase,2026-05-26 10:54:37,Desktop,East,Organic,Home,Credit Card,737.5,No
USR00113,SES00113,Visit,2026-05-30 19:29:07,Tablet,South,Friends,Home,Credit Card,0.0,No
USR00113,SES00113,Product View,2026-05-30 19:31:07,Desktop,East,Google Ads,Fashion,Online,0.0,No
USR00113,SES00113,Add To Cart,2026-05-30 19:36:07,Mobile,South,Google Ads,Electronics,Card,0.0,No
USR00113,SES00113,Purchase,2026-05-30 19:41:07,Mobile,Norht,Friends,Beauty,Online,881.33,No
USR00114,SES00114,Visit,2026-05-25 16:59:27,Mobile,East,Google Ads,Electronics,Card,0.0,No
USR00114,SES00114,Product View,2026-05-25 17:06:27,Mobile,East,Friends,Sport,Credit Card,0.0,No
USR00115,SES00115,Visit,2026-06-13 10:30:30,Desktop,South,Organic,Electronics,Card,0.0,Yes
USR00115,SES00115,Product View,2026-06-13 10:32:30,Mobile,West,Email,Fashion,Card,0.0,Yes
USR00116,SES00116,Visit,2026-06-03 08:45:41,Desktop,East,Organic,Electronics,Credit Card,0.0,Yes
USR00116,SES00116,Product View,2026-06-03 08:50:41,Tablet,Norht,Organic,Fashion,Online,0.0,Yes
USR00117,SES00117,Visit,2026-06-21 20:58:50,Mobile,Norht,Email,Fashion,Card,0.0,No
